date,event_type,demand_multiplier
2025-10-01,Dussehra,4.2
2025-10-02,Dussehra,4.2
2025-10-03,Dussehra,4.2
2025-10-04,Dussehra,4.2
2025-10-05,Dussehra,4.2
2025-10-06,Dussehra,4.2
2025-10-07,Dussehra,4.2
2025-10-08,Dussehra,4.2
2025-10-09,Dussehra,4.2
2025-10-10,Dussehra,4.2
2025-10-11,Dussehra,4.2
2025-10-12,Dussehra,4.2
2025-10-15,Diwali,5.2
2025-10-16,Diwali,5.2
2025-10-17,Diwali,5.2
2025-10-18,Diwali,5.2
2025-10-19,Diwali,5.2
2025-10-20,Diwali,5.2
2025-10-21,Diwali,5.2
2025-10-22,Diwali,4.8
2025-10-23,Diwali,4.8
2025-10-24,Diwali,4.8
2025-10-25,Diwali,4.8
2025-10-26,Diwali,4.8
2025-10-27,Diwali,4.8
2025-10-28,Diwali,4.8
2025-10-29,Diwali,4.8
2025-10-30,Diwali,4.8
2025-10-31,Diwali,4.8
2025-11-01,Diwali,4.8
2025-11-02,Diwali,4.8
2025-11-03,Diwali,4.8
2025-11-04,Diwali,4.8
2025-11-05,Diwali,4.8
2025-11-06,Diwali,4.8
2025-11-07,Diwali,4.8
2025-11-08,Diwali,4.8
2025-11-09,Diwali,4.8
2025-11-10,Diwali,4.8
2025-11-11,Diwali,5.2
2025-11-12,Diwali,5.2
2025-11-13,Diwali,5.2
2025-11-14,Diwali,5.2
2025-11-15,Diwali,5.2
2025-12-26,New Year,1.5
2025-12-27,New Year,1.5
2025-12-28,New Year,1.5
2025-12-29,New Year,1.5
2025-12-30,New Year,1.5
2025-12-31,New Year,1.5
2026-01-01,New Year,1.5
2026-01-02,New Year,1.5
2026-03-15,Ugadi,1.8
2026-03-16,Ugadi,1.8
2026-03-17,Ugadi,1.8
2026-03-18,Ugadi,1.8
2026-03-19,Ugadi,1.8
2026-03-20,Ugadi,1.8
2026-03-21,Ugadi,1.8
2026-03-22,Ugadi,1.8
2026-03-23,Ugadi,1.8
2026-03-24,Ugadi,1.8
2026-03-25,Ugadi,1.8
