store_id,model_id,current_stock,warehouse_stock
BEL01,MOD001,0,44
BEL01,MOD002,3,55
BEL01,MOD003,1,132
BEL01,MOD004,3,203
BEL01,MOD005,1,78
BEL01,MOD007,0,136
BEL01,MOD008,3,296
BEL01,MOD009,1,45
BEL01,MOD010,1,51
BEL01,MOD011,2,73
BEL01,MOD012,4,218
BEL01,MOD013,2,83
BEL01,MOD014,0,61
BEL01,MOD015,1,119
BEL01,MOD016,0,80
BEL01,MOD017,1,65
BEL01,MOD018,2,79
BEL01,MOD019,2,56
BEL01,MOD021,2,173
BEL01,MOD022,1,53
BEL01,MOD023,0,53
BEL01,MOD024,1,198
BEL01,MOD025,1,71
BEL01,MOD026,0,54
BEL01,MOD027,3,159
BEL01,MOD029,0,36
BEL01,MOD030,1,99
BEL01,MOD031,0,61
BEL01,MOD032,1,57
BEL01,MOD033,2,89
BEL01,MOD034,0,60
BEL01,MOD035,0,49
BEL01,MOD036,2,71
BEL01,MOD037,3,45
BEL01,MOD038,1,44
BEL01,MOD039,3,106
BEL01,MOD040,1,68
BEL01,MOD041,0,43
BEL01,MOD042,1,91
BEL01,MOD043,0,46
BEL01,MOD044,0,36
BEL01,MOD045,2,85
BEL01,MOD046,0,28
BEL01,MOD047,1,42
BEL01,MOD048,1,94
BEL01,MOD049,0,25
BEL01,MOD051,0,48
BEL01,MOD053,0,32
BEL01,MOD054,2,97
BEL01,MOD055,0,27
BEL01,MOD056,0,32
BEL01,MOD057,1,97
BEL01,MOD059,0,22
BEL01,MOD060,2,32
BLR01,MOD001,1,44
BLR01,MOD002,1,55
BLR01,MOD003,2,132
BLR01,MOD004,3,203
BLR01,MOD005,1,78
BLR01,MOD006,0,53
BLR01,MOD007,1,136
BLR01,MOD008,4,296
BLR01,MOD009,2,45
BLR01,MOD010,0,51
BLR01,MOD011,0,73
BLR01,MOD012,5,218
BLR01,MOD013,1,83
BLR01,MOD014,1,61
BLR01,MOD015,2,119
BLR01,MOD016,1,80
BLR01,MOD017,0,65
BLR01,MOD018,5,79
BLR01,MOD019,0,56
BLR01,MOD020,2,40
BLR01,MOD021,3,173
BLR01,MOD022,2,53
BLR01,MOD023,1,53
BLR01,MOD024,1,198
BLR01,MOD025,5,71
BLR01,MOD026,0,54
BLR01,MOD027,9,159
BLR01,MOD028,3,70
BLR01,MOD029,0,36
BLR01,MOD030,2,99
BLR01,MOD031,4,61
BLR01,MOD032,2,57
BLR01,MOD033,3,89
BLR01,MOD034,2,60
BLR01,MOD035,6,49
BLR01,MOD036,2,71
BLR01,MOD037,1,45
BLR01,MOD038,1,44
BLR01,MOD039,5,106
BLR01,MOD040,2,68
BLR01,MOD041,1,43
BLR01,MOD042,5,91
BLR01,MOD043,2,46
BLR01,MOD044,1,36
BLR01,MOD045,1,85
BLR01,MOD046,1,28
BLR01,MOD047,2,42
BLR01,MOD048,7,94
BLR01,MOD049,0,25
BLR01,MOD050,2,35
BLR01,MOD051,5,48
BLR01,MOD052,2,28
BLR01,MOD053,2,32
BLR01,MOD054,7,97
BLR01,MOD055,1,27
BLR01,MOD056,3,32
BLR01,MOD057,3,97
BLR01,MOD058,1,17
BLR01,MOD059,0,22
BLR01,MOD060,1,32
BLR02,MOD001,1,44
BLR02,MOD002,4,55
BLR02,MOD003,7,132
BLR02,MOD004,1,203
BLR02,MOD005,4,78
BLR02,MOD006,0,53
BLR02,MOD007,5,136
BLR02,MOD008,13,296
BLR02,MOD009,1,45
BLR02,MOD010,0,51
BLR02,MOD011,3,73
BLR02,MOD012,2,218
BLR02,MOD013,4,83
BLR02,MOD014,2,61
BLR02,MOD015,3,119
BLR02,MOD016,2,80
BLR02,MOD017,1,65
BLR02,MOD018,3,79
BLR02,MOD019,0,56
BLR02,MOD020,1,40
BLR02,MOD021,5,173
BLR02,MOD022,1,53
BLR02,MOD023,2,53
BLR02,MOD024,3,198
BLR02,MOD025,2,71
BLR02,MOD026,4,54
BLR02,MOD027,8,159
BLR02,MOD028,3,70
BLR02,MOD029,2,36
BLR02,MOD030,3,99
BLR02,MOD031,1,61
BLR02,MOD032,2,57
BLR02,MOD033,4,89
BLR02,MOD034,3,60
BLR02,MOD035,2,49
BLR02,MOD036,3,71
BLR02,MOD037,2,45
BLR02,MOD038,3,44
BLR02,MOD039,4,106
BLR02,MOD040,3,68
BLR02,MOD041,0,43
BLR02,MOD042,4,91
BLR02,MOD043,1,46
BLR02,MOD044,3,36
BLR02,MOD045,2,85
BLR02,MOD046,0,28
BLR02,MOD047,2,42
BLR02,MOD048,5,94
BLR02,MOD049,2,25
BLR02,MOD050,3,35
BLR02,MOD051,2,48
BLR02,MOD052,2,28
BLR02,MOD053,2,32
BLR02,MOD054,3,97
BLR02,MOD055,2,27
BLR02,MOD056,2,32
BLR02,MOD057,6,97
BLR02,MOD058,1,17
BLR02,MOD059,1,22
BLR02,MOD060,4,32
BLR03,MOD001,0,44
BLR03,MOD002,1,55
BLR03,MOD003,0,132
BLR03,MOD004,2,203
BLR03,MOD005,0,78
BLR03,MOD006,1,53
BLR03,MOD007,1,136
BLR03,MOD008,4,296
BLR03,MOD009,2,45
BLR03,MOD010,0,51
BLR03,MOD011,0,73
BLR03,MOD012,3,218
BLR03,MOD013,0,83
BLR03,MOD014,1,61
BLR03,MOD015,2,119
BLR03,MOD016,0,80
BLR03,MOD017,0,65
BLR03,MOD018,7,79
BLR03,MOD019,1,56
BLR03,MOD020,1,40
BLR03,MOD021,1,173
BLR03,MOD022,1,53
BLR03,MOD023,1,53
BLR03,MOD024,1,198
BLR03,MOD025,3,71
BLR03,MOD026,0,54
BLR03,MOD027,6,159
BLR03,MOD028,2,70
BLR03,MOD029,2,36
BLR03,MOD030,6,99
BLR03,MOD031,2,61
BLR03,MOD032,1,57
BLR03,MOD033,1,89
BLR03,MOD034,0,60
BLR03,MOD035,1,49
BLR03,MOD036,2,71
BLR03,MOD037,0,45
BLR03,MOD038,1,44
BLR03,MOD039,7,106
BLR03,MOD040,1,68
BLR03,MOD041,2,43
BLR03,MOD042,2,91
BLR03,MOD043,0,46
BLR03,MOD044,2,36
BLR03,MOD045,6,85
BLR03,MOD046,7,28
BLR03,MOD047,2,42
BLR03,MOD048,2,94
BLR03,MOD049,0,25
BLR03,MOD050,2,35
BLR03,MOD051,1,48
BLR03,MOD052,1,28
BLR03,MOD053,2,32
BLR03,MOD054,5,97
BLR03,MOD055,3,27
BLR03,MOD056,0,32
BLR03,MOD057,7,97
BLR03,MOD058,1,17
BLR03,MOD059,1,22
BLR03,MOD060,1,32
BLR04,MOD001,0,44
BLR04,MOD002,1,55
BLR04,MOD003,2,132
BLR04,MOD004,2,203
BLR04,MOD005,1,78
BLR04,MOD006,2,53
BLR04,MOD007,4,136
BLR04,MOD008,8,296
BLR04,MOD009,2,45
BLR04,MOD010,0,51
BLR04,MOD011,2,73
BLR04,MOD012,10,218
BLR04,MOD013,1,83
BLR04,MOD014,1,61
BLR04,MOD015,2,119
BLR04,MOD016,3,80
BLR04,MOD018,4,79
BLR04,MOD019,0,56
BLR04,MOD020,1,40
BLR04,MOD021,2,173
BLR04,MOD022,1,53
BLR04,MOD023,0,53
BLR04,MOD024,3,198
BLR04,MOD025,2,71
BLR04,MOD026,3,54
BLR04,MOD027,4,159
BLR04,MOD028,3,70
BLR04,MOD029,3,36
BLR04,MOD030,3,99
BLR04,MOD031,2,61
BLR04,MOD032,2,57
BLR04,MOD033,4,89
BLR04,MOD034,2,60
BLR04,MOD035,8,49
BLR04,MOD036,5,71
BLR04,MOD037,1,45
BLR04,MOD038,4,44
BLR04,MOD039,8,106
BLR04,MOD040,2,68
BLR04,MOD041,1,43
BLR04,MOD042,2,91
BLR04,MOD043,1,46
BLR04,MOD044,4,36
BLR04,MOD045,5,85
BLR04,MOD046,5,28
BLR04,MOD047,4,42
BLR04,MOD048,8,94
BLR04,MOD049,0,25
BLR04,MOD050,1,35
BLR04,MOD051,2,48
BLR04,MOD052,4,28
BLR04,MOD053,1,32
BLR04,MOD054,4,97
BLR04,MOD055,4,27
BLR04,MOD056,1,32
BLR04,MOD057,5,97
BLR04,MOD058,0,17
BLR04,MOD059,1,22
