date,store_id,model_id,units_sold,selling_price,revenue
2025-08-04,BLR01,MOD001,1,7000,7000
2025-08-22,BLR01,MOD001,1,7000,7000
2025-08-30,BLR01,MOD001,1,7000,7000
2025-09-07,BLR01,MOD001,1,7000,7000
2025-09-16,BLR01,MOD001,1,7000,7000
2025-09-19,BLR01,MOD001,1,7000,7000
2025-09-28,BLR01,MOD001,1,7000,7000
2025-10-03,BLR01,MOD001,1,7000,7000
2025-10-04,BLR01,MOD001,1,7000,7000
2025-10-05,BLR01,MOD001,1,7000,7000
2025-10-07,BLR01,MOD001,1,7000,7000
2025-10-08,BLR01,MOD001,1,7000,7000
2025-10-10,BLR01,MOD001,1,7000,7000
2025-10-16,BLR01,MOD001,2,7000,14000
2025-10-17,BLR01,MOD001,1,7000,7000
2025-10-20,BLR01,MOD001,2,7000,14000
2025-10-24,BLR01,MOD001,1,7000,7000
2025-10-25,BLR01,MOD001,1,7000,7000
2025-10-26,BLR01,MOD001,3,7000,21000
2025-10-29,BLR01,MOD001,1,7000,7000
2025-10-30,BLR01,MOD001,1,7000,7000
2025-11-01,BLR01,MOD001,1,7000,7000
2025-11-03,BLR01,MOD001,3,7000,21000
2025-11-05,BLR01,MOD001,3,7000,21000
2025-11-11,BLR01,MOD001,2,7000,14000
2025-11-13,BLR01,MOD001,1,7000,7000
2025-11-14,BLR01,MOD001,2,7000,14000
2025-11-15,BLR01,MOD001,1,7000,7000
2025-12-02,BLR01,MOD001,1,7000,7000
2025-12-20,BLR01,MOD001,1,7000,7000
2025-12-23,BLR01,MOD001,1,7000,7000
2026-01-01,BLR01,MOD001,1,7000,7000
2026-01-03,BLR01,MOD001,1,7000,7000
2026-01-09,BLR01,MOD001,1,7000,7000
2026-01-10,BLR01,MOD001,1,7000,7000
2026-01-24,BLR01,MOD001,2,7000,14000
2026-01-31,BLR01,MOD001,1,7000,7000
2026-02-02,BLR01,MOD001,1,7000,7000
2026-02-03,BLR01,MOD001,1,7000,7000
2026-02-19,BLR01,MOD001,1,7000,7000
2026-02-25,BLR01,MOD001,2,7000,14000
2026-02-28,BLR01,MOD001,1,7000,7000
2026-03-15,BLR01,MOD001,2,7000,14000
2026-03-16,BLR01,MOD001,1,7000,7000
2026-03-17,BLR01,MOD001,1,7000,7000
2026-04-01,BLR01,MOD001,1,7000,7000
2026-04-30,BLR01,MOD001,1,7000,7000
2026-05-19,BLR01,MOD001,1,7000,7000
2026-06-23,BLR01,MOD001,1,7000,7000
2026-06-27,BLR01,MOD001,1,7000,7000
2026-07-03,BLR01,MOD001,1,7000,7000
2026-07-12,BLR01,MOD001,1,7000,7000
2025-10-31,BLR01,MOD002,3,7500,22500
2025-11-01,BLR01,MOD002,1,7500,7500
2025-11-03,BLR01,MOD002,2,7500,15000
2025-11-04,BLR01,MOD002,1,7500,7500
2025-11-05,BLR01,MOD002,1,7500,7500
2025-11-06,BLR01,MOD002,2,7500,15000
2025-11-07,BLR01,MOD002,2,7500,15000
2025-11-08,BLR01,MOD002,1,7500,7500
2025-11-10,BLR01,MOD002,3,7500,22500
2025-11-11,BLR01,MOD002,1,7500,7500
2025-11-12,BLR01,MOD002,1,7500,7500
2025-11-13,BLR01,MOD002,1,7500,7500
2025-11-14,BLR01,MOD002,3,7500,22500
2025-11-15,BLR01,MOD002,2,7500,15000
2025-11-19,BLR01,MOD002,2,7500,15000
2025-11-23,BLR01,MOD002,1,7500,7500
2025-11-25,BLR01,MOD002,1,7500,7500
2025-11-27,BLR01,MOD002,1,7500,7500
2025-11-29,BLR01,MOD002,1,7500,7500
2025-11-30,BLR01,MOD002,1,7500,7500
2025-12-01,BLR01,MOD002,1,7500,7500
2025-12-02,BLR01,MOD002,1,7500,7500
2025-12-07,BLR01,MOD002,3,7500,22500
2025-12-08,BLR01,MOD002,2,7500,15000
2025-12-11,BLR01,MOD002,1,7500,7500
2025-12-14,BLR01,MOD002,2,7500,15000
2025-12-15,BLR01,MOD002,3,7500,22500
2025-12-16,BLR01,MOD002,1,7500,7500
2025-12-17,BLR01,MOD002,3,7500,22500
2025-12-25,BLR01,MOD002,2,7500,15000
2025-12-26,BLR01,MOD002,1,7500,7500
2025-12-27,BLR01,MOD002,1,7500,7500
2025-12-30,BLR01,MOD002,1,7500,7500
2025-12-31,BLR01,MOD002,1,7500,7500
2026-01-01,BLR01,MOD002,1,7500,7500
2026-01-02,BLR01,MOD002,1,7500,7500
2026-01-05,BLR01,MOD002,4,7500,30000
2026-01-11,BLR01,MOD002,1,7500,7500
2026-01-12,BLR01,MOD002,1,7500,7500
2026-01-14,BLR01,MOD002,1,7500,7500
2026-01-15,BLR01,MOD002,1,7500,7500
2026-01-16,BLR01,MOD002,1,7500,7500
2026-01-17,BLR01,MOD002,1,7500,7500
2026-01-18,BLR01,MOD002,2,7500,15000
2026-01-19,BLR01,MOD002,1,7500,7500
2026-01-21,BLR01,MOD002,1,7500,7500
2026-01-25,BLR01,MOD002,1,7500,7500
2026-01-26,BLR01,MOD002,1,7500,7500
2026-01-27,BLR01,MOD002,1,7500,7500
2026-01-29,BLR01,MOD002,2,7500,15000
2026-02-02,BLR01,MOD002,3,7500,22500
2026-02-05,BLR01,MOD002,1,7500,7500
2026-02-08,BLR01,MOD002,1,7500,7500
2026-02-10,BLR01,MOD002,1,7500,7500
2026-02-13,BLR01,MOD002,1,7500,7500
2026-02-14,BLR01,MOD002,1,7500,7500
2026-02-15,BLR01,MOD002,1,7500,7500
2026-02-16,BLR01,MOD002,1,7500,7500
2026-02-17,BLR01,MOD002,1,7500,7500
2026-02-18,BLR01,MOD002,1,7500,7500
2026-02-19,BLR01,MOD002,1,7500,7500
2026-03-01,BLR01,MOD002,2,7500,15000
2026-03-03,BLR01,MOD002,1,7500,7500
2026-03-14,BLR01,MOD002,1,7500,7500
2026-03-15,BLR01,MOD002,3,7500,22500
2026-03-16,BLR01,MOD002,1,7500,7500
2026-03-17,BLR01,MOD002,1,7500,7500
2026-03-18,BLR01,MOD002,1,7500,7500
2026-03-21,BLR01,MOD002,1,7500,7500
2026-03-24,BLR01,MOD002,3,7500,22500
2026-03-30,BLR01,MOD002,1,7500,7500
2026-04-02,BLR01,MOD002,1,7500,7500
2026-04-13,BLR01,MOD002,1,7500,7500
2026-04-19,BLR01,MOD002,1,7500,7500
2026-04-23,BLR01,MOD002,1,7500,7500
2026-04-27,BLR01,MOD002,1,7500,7500
2026-04-28,BLR01,MOD002,1,7500,7500
2026-05-08,BLR01,MOD002,1,7500,7500
2026-06-06,BLR01,MOD002,1,7500,7500
2026-06-08,BLR01,MOD002,1,7500,7500
2026-06-20,BLR01,MOD002,1,7500,7500
2026-06-24,BLR01,MOD002,1,7500,7500
2026-07-08,BLR01,MOD002,1,7500,7500
2026-07-29,BLR01,MOD002,2,7500,15000
2026-02-21,BLR01,MOD003,1,7500,7500
2026-02-22,BLR01,MOD003,1,7500,7500
2026-02-25,BLR01,MOD003,1,7500,7500
2026-03-01,BLR01,MOD003,2,7500,15000
2026-03-02,BLR01,MOD003,1,7500,7500
2026-03-03,BLR01,MOD003,1,7500,7500
2026-03-06,BLR01,MOD003,1,7500,7500
2026-03-07,BLR01,MOD003,1,7500,7500
2026-03-08,BLR01,MOD003,1,7500,7500
2026-03-12,BLR01,MOD003,1,7500,7500
2026-03-15,BLR01,MOD003,1,7500,7500
2026-03-19,BLR01,MOD003,1,7500,7500
2026-03-24,BLR01,MOD003,1,7500,7500
2026-03-25,BLR01,MOD003,1,7500,7500
2026-03-28,BLR01,MOD003,2,7500,15000
2026-03-31,BLR01,MOD003,1,7500,7500
2026-04-07,BLR01,MOD003,1,7500,7500
2026-04-09,BLR01,MOD003,3,7500,22500
2026-04-12,BLR01,MOD003,1,7500,7500
2026-04-13,BLR01,MOD003,1,7500,7500
2026-04-14,BLR01,MOD003,2,7500,15000
2026-04-16,BLR01,MOD003,1,7500,7500
2026-04-18,BLR01,MOD003,1,7500,7500
2026-04-20,BLR01,MOD003,1,7500,7500
2026-04-22,BLR01,MOD003,1,7500,7500
2026-04-23,BLR01,MOD003,1,7500,7500
2026-04-25,BLR01,MOD003,1,7500,7500
2026-04-27,BLR01,MOD003,1,7500,7500
2026-04-28,BLR01,MOD003,1,7500,7500
2026-05-03,BLR01,MOD003,1,7500,7500
2026-05-05,BLR01,MOD003,2,7500,15000
2026-05-06,BLR01,MOD003,1,7500,7500
2026-05-07,BLR01,MOD003,1,7500,7500
2026-05-09,BLR01,MOD003,1,7500,7500
2026-05-11,BLR01,MOD003,1,7500,7500
2026-05-16,BLR01,MOD003,2,7500,15000
2026-05-19,BLR01,MOD003,1,7500,7500
2026-05-22,BLR01,MOD003,1,7500,7500
2026-05-23,BLR01,MOD003,1,7500,7500
2026-05-25,BLR01,MOD003,1,7500,7500
2026-05-27,BLR01,MOD003,2,7500,15000
2026-06-06,BLR01,MOD003,1,7500,7500
2026-06-07,BLR01,MOD003,1,7500,7500
2026-06-10,BLR01,MOD003,1,7500,7500
2026-06-15,BLR01,MOD003,2,7500,15000
2026-06-17,BLR01,MOD003,1,7500,7500
2026-06-24,BLR01,MOD003,1,7500,7500
2026-06-25,BLR01,MOD003,1,7500,7500
2026-07-05,BLR01,MOD003,1,7500,7500
2026-07-11,BLR01,MOD003,1,7500,7500
2026-07-13,BLR01,MOD003,1,7500,7500
2026-07-15,BLR01,MOD003,1,7500,7500
2026-07-21,BLR01,MOD003,1,7500,7500
2026-07-22,BLR01,MOD003,1,7500,7500
2026-07-26,BLR01,MOD003,1,7500,7500
2026-07-30,BLR01,MOD003,1,7500,7500
2026-05-28,BLR01,MOD004,1,8000,8000
2026-06-09,BLR01,MOD004,1,8000,8000
2026-06-10,BLR01,MOD004,1,8000,8000
2026-06-13,BLR01,MOD004,1,8000,8000
2026-06-15,BLR01,MOD004,1,8000,8000
2026-06-16,BLR01,MOD004,1,8000,8000
2026-06-20,BLR01,MOD004,1,8000,8000
2026-06-23,BLR01,MOD004,1,8000,8000
2026-07-02,BLR01,MOD004,1,8000,8000
2026-07-07,BLR01,MOD004,1,8000,8000
2026-07-10,BLR01,MOD004,2,8000,16000
2026-07-12,BLR01,MOD004,1,8000,8000
2026-07-15,BLR01,MOD004,1,8000,8000
2026-07-18,BLR01,MOD004,1,8000,8000
2026-07-19,BLR01,MOD004,1,8000,8000
2026-07-21,BLR01,MOD004,1,8000,8000
2026-07-28,BLR01,MOD004,1,8000,8000
2025-08-01,BLR01,MOD005,1,6500,6500
2025-08-03,BLR01,MOD005,1,6500,6500
2025-08-06,BLR01,MOD005,1,6500,6500
2025-08-13,BLR01,MOD005,1,6500,6500
2025-08-28,BLR01,MOD005,1,6500,6500
2025-09-13,BLR01,MOD005,1,6500,6500
2025-09-15,BLR01,MOD005,1,6500,6500
2025-09-25,BLR01,MOD005,1,6500,6500
2025-09-26,BLR01,MOD005,2,6500,13000
2025-10-01,BLR01,MOD005,1,6500,6500
2025-10-04,BLR01,MOD005,1,6500,6500
2025-10-05,BLR01,MOD005,1,6500,6500
2025-10-06,BLR01,MOD005,1,6500,6500
2025-10-07,BLR01,MOD005,3,6500,19500
2025-10-08,BLR01,MOD005,2,6500,13000
2025-10-13,BLR01,MOD005,1,6500,6500
2025-10-14,BLR01,MOD005,1,6500,6500
2025-10-15,BLR01,MOD005,2,6500,13000
2025-10-16,BLR01,MOD005,1,6500,6500
2025-10-17,BLR01,MOD005,1,6500,6500
2025-10-18,BLR01,MOD005,3,6500,19500
2025-10-19,BLR01,MOD005,1,6500,6500
2025-10-21,BLR01,MOD005,2,6500,13000
2025-10-22,BLR01,MOD005,1,6500,6500
2025-10-23,BLR01,MOD005,1,6500,6500
2025-10-24,BLR01,MOD005,1,6500,6500
2025-10-25,BLR01,MOD005,1,6500,6500
2025-10-26,BLR01,MOD005,4,6500,26000
2025-10-27,BLR01,MOD005,1,6500,6500
2025-10-28,BLR01,MOD005,1,6500,6500
2025-10-29,BLR01,MOD005,2,6500,13000
2025-10-30,BLR01,MOD005,2,6500,13000
2025-10-31,BLR01,MOD005,1,6500,6500
2025-11-01,BLR01,MOD005,1,6500,6500
2025-11-02,BLR01,MOD005,1,6500,6500
2025-11-03,BLR01,MOD005,2,6500,13000
2025-11-05,BLR01,MOD005,1,6500,6500
2025-11-06,BLR01,MOD005,1,6500,6500
2025-11-07,BLR01,MOD005,1,6500,6500
2025-11-08,BLR01,MOD005,1,6500,6500
2025-11-14,BLR01,MOD005,2,6500,13000
2025-11-15,BLR01,MOD005,2,6500,13000
2025-11-21,BLR01,MOD005,1,6500,6500
2025-11-22,BLR01,MOD005,1,6500,6500
2025-11-29,BLR01,MOD005,1,6500,6500
2025-12-01,BLR01,MOD005,1,6500,6500
2025-12-21,BLR01,MOD005,1,6500,6500
2025-12-22,BLR01,MOD005,1,6500,6500
2025-12-26,BLR01,MOD005,1,6500,6500
2026-01-25,BLR01,MOD005,1,6500,6500
2026-01-30,BLR01,MOD005,1,6500,6500
2026-02-07,BLR01,MOD005,1,6500,6500
2026-02-19,BLR01,MOD005,1,6500,6500
2026-02-27,BLR01,MOD005,1,6500,6500
2026-02-28,BLR01,MOD005,2,6500,13000
2026-03-04,BLR01,MOD005,1,6500,6500
2026-03-19,BLR01,MOD005,1,6500,6500
2026-03-22,BLR01,MOD005,1,6500,6500
2026-03-29,BLR01,MOD005,1,6500,6500
2026-04-02,BLR01,MOD005,1,6500,6500
2026-04-16,BLR01,MOD005,1,6500,6500
2026-05-07,BLR01,MOD005,1,6500,6500
2026-05-11,BLR01,MOD005,1,6500,6500
2026-05-13,BLR01,MOD005,1,6500,6500
2026-05-30,BLR01,MOD005,1,6500,6500
2026-06-15,BLR01,MOD005,1,6500,6500
2026-06-22,BLR01,MOD005,1,6500,6500
2026-06-30,BLR01,MOD005,1,6500,6500
2026-07-06,BLR01,MOD005,1,6500,6500
2026-07-08,BLR01,MOD005,1,6500,6500
2026-07-21,BLR01,MOD005,1,6500,6500
2025-11-09,BLR01,MOD006,1,7000,7000
