store_id,model_id,forecast_units,current_stock,target_stock,stock_gap,recommended_units,allocated_units,allocation_value,protected_sales_value,lost_sale_value,unfilled_demand_units,unfilled_demand_value,priority_score,price_band,store_price_band_fit,avg_event_multiplier,lifecycle_factor,city,eol_status,allocation_status,reason,price
BLR05,MOD054,13.158094967532469,14.0,18.797278525046384,4.797278525046384,4,4,368000,368000.0,0.0,0.0,0.0,390153.0678849724,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,92000
BLR01,MOD057,4.385987762237762,3.0,6.2656968031968026,3.2656968031968026,3,3,388500,388500.0,143588.33216783212,0.0,0.0,373850.43863636366,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹143,588 potential lost-sale value.",129500
BLR03,MOD057,6.996081331168831,7.0,9.99440190166976,2.994401901669759,2,2,259000,259000.0,0.0,0.0,0.0,342793.1408993507,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,129500
BLR05,MOD057,3.4048709415584417,2.0,4.864101345083489,2.8641013450834887,2,2,259000,259000.0,145544.62954545455,0.0,0.0,327876.59378246765,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹145,545 potential lost-sale value.",129500
BLR02,MOD039,7.9416916996047435,4.0,11.345273856578205,7.3452738565782045,7,7,241500,241500.0,156386.6181818182,0.0,0.0,320566.1142857143,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹156,387 potential lost-sale value.",34500
BLR05,MOD027,10.012380194805193,5.0,14.30340027829313,9.30340027829313,9,9,234000,234000.0,143354.07357142854,0.0,0.0,292684.9727551019,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹143,354 potential lost-sale value.",26000
BLR01,MOD030,6.794497402597403,2.0,9.706424860853433,7.706424860853433,7,7,210000,203834.9220779221,158218.4142857143,0.0,0.0,279743.2224489797,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹158,218 potential lost-sale value.",30000
BLR07,MOD060,1.5852637987012985,0.0,2.2646625695732836,2.2646625695732836,2,2,205000,162489.5393668831,129991.63149350649,0.0,0.0,265554.33290816325,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹129,992 potential lost-sale value.",102500
MAN01,MOD048,6.361372159090908,2.0,9.087674512987011,7.087674512987011,7,7,378000,343514.096590909,176635.57244318177,0.0,0.0,258345.73599837653,Flagship,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹176,636 potential lost-sale value.",54000
BLR06,MOD057,1.11925,0.0,1.5989285714285715,1.5989285714285715,1,1,129500,129500.0,115954.3,0.11925000000000008,15442.875000000011,236878.07,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹115,954 potential lost-sale value.",129500
BLR02,MOD054,4.030237012987013,3.0,5.757481447124304,2.757481447124304,2,2,184000,184000.0,75825.44415584416,0.0,0.0,224260.45113172542,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,92000
BLR06,MOD039,5.524502435064934,3.0,7.892146335807049,4.892146335807049,4,4,138000,138000.0,100159.63411120127,0.0,0.0,213505.49646045914,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹100,160 potential lost-sale value.",34500
BLR02,MOD060,4.364238095238095,4.0,6.2346258503401355,2.2346258503401355,2,2,205000,205000.0,29867.523809523795,0.0,0.0,202479.4482993197,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,102500
BLR05,MOD060,1.2030165584415584,0.0,1.7185950834879407,1.7185950834879407,1,1,102500,102500.0,98647.3577922078,0.20301655844155841,20809.19724025974,201522.45948979593,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,102500
