store_id,model_id,forecast_units,avg_event_multiplier,avg_lifecycle_factor
BEL01,MOD001,0.35000000000000003,1.0,0.55
BEL01,MOD002,0.9418250892857144,1.0,0.55
BEL01,MOD003,0.5368003246753246,1.0,0.6
BEL01,MOD004,1.3293651515151517,1.0,0.6
BEL01,MOD005,0.575049375,1.0,0.55
BEL01,MOD006,0.35000000000000003,1.0,0.55
BEL01,MOD007,0.6874368750000002,1.0,0.55
BEL01,MOD008,4.268014069264069,1.0,1.0
BEL01,MOD009,0.6459583333333333,1.0,0.55
BEL01,MOD010,0.8891100000000001,1.0,0.55
BEL01,MOD011,0.49617991071428574,1.0,0.55
BEL01,MOD012,6.650440191387559,1.0,1.0
BEL01,MOD013,0.42700312500000004,1.0,0.55
BEL01,MOD014,0.35547357142857144,1.0,0.55
BEL01,MOD015,0.9931436688311688,1.0,1.0
BEL01,MOD016,0.6301727678571429,1.0,0.55
BEL01,MOD017,0.35915714285714284,1.0,0.55
BEL01,MOD018,1.9507969696969698,1.0,1.0
BEL01,MOD019,0.53946,1.0,0.55
BEL01,MOD020,0.4352785714285715,1.0,0.55
BEL01,MOD021,2.1220017482517486,1.0,1.0
BEL01,MOD022,0.9514886363636363,1.0,0.55
BEL01,MOD023,0.37616666666666665,1.0,0.55
BEL01,MOD024,1.6116623376623374,1.0,1.0
BEL01,MOD025,0.5811147321428571,1.0,0.55
BEL01,MOD026,0.3887180357142857,1.0,0.55
BEL01,MOD027,2.4712275974025975,1.0,1.0
BEL01,MOD028,0.35000000000000003,1.0,0.55
BEL01,MOD029,0.35000000000000003,1.0,0.55
BEL01,MOD030,1.0248579545454546,1.0,1.0
BEL01,MOD031,0.38978839285714284,1.0,0.55
BEL01,MOD032,0.35000000000000003,1.0,0.55
BEL01,MOD033,4.121415584415583,1.0,1.0
BEL01,MOD034,0.37747928571428574,1.0,0.55
BEL01,MOD035,0.37940416666666665,1.0,0.55
BEL01,MOD036,2.223585876623377,1.0,1.0
BEL01,MOD037,0.6790160714285715,1.0,0.55
BEL01,MOD038,0.36706428571428573,1.0,0.55
BEL01,MOD039,1.2006379870129869,1.0,1.0
BEL01,MOD040,0.35000000000000003,1.0,0.55
BEL01,MOD041,0.41681491071428567,1.0,0.55
BEL01,MOD042,0.8279050324675323,1.0,1.0
BEL01,MOD043,0.35000000000000003,1.0,0.55
BEL01,MOD044,0.35000000000000003,1.0,0.55
BEL01,MOD045,1.2683011363636363,1.0,1.0
BEL01,MOD046,0.35000000000000003,1.0,0.55
BEL01,MOD047,0.3515875,1.0,0.55
BEL01,MOD048,0.9031363636363636,1.0,1.0
BEL01,MOD049,0.35000000000000003,1.0,0.55
BEL01,MOD050,0.35000000000000003,1.0,0.55
BEL01,MOD051,0.41507873376623367,1.0,1.0
BEL01,MOD052,0.35000000000000003,1.0,0.55
BEL01,MOD053,0.35000000000000003,1.0,0.55
BEL01,MOD054,0.7631249999999999,1.0,1.0
BEL01,MOD055,0.35000000000000003,1.0,0.55
BEL01,MOD056,0.4184204464285714,1.0,0.55
BEL01,MOD057,1.1433560606060607,1.0,1.0
BEL01,MOD058,0.35000000000000003,1.0,0.55
BEL01,MOD059,0.35000000000000003,1.0,0.55
BEL01,MOD060,0.9681866883116883,1.0,1.0
BLR01,MOD001,0.35000000000000003,1.0,0.55
BLR01,MOD002,0.3593982142857143,1.0,0.55
BLR01,MOD003,0.940400649350649,1.0,0.6
BLR01,MOD004,1.1480486631016045,1.0,0.6
BLR01,MOD005,0.35520357142857145,1.0,0.55
BLR01,MOD006,0.5016407142857143,1.0,0.55
BLR01,MOD007,0.49626249999999994,1.0,0.55
BLR01,MOD008,3.659181818181819,1.0,1.0
BLR01,MOD009,0.3551071428571429,1.0,0.55
BLR01,MOD010,0.35000000000000003,1.0,0.55
BLR01,MOD011,0.35000000000000003,1.0,0.55
BLR01,MOD012,6.560964935064935,1.0,1.0
BLR01,MOD013,0.35587857142857143,1.0,0.55
BLR01,MOD014,0.7814499107142856,1.0,0.55
BLR01,MOD015,1.7609537337662338,1.0,1.0
BLR01,MOD016,0.35000000000000003,1.0,0.55
